	6-azauridine	Abacavir	Acyclovir	Asunaprevir	Atazanavir	Baloxavir_marboxil	Bictegravir	Bleomycin	Boceprevir	Camostat	Cenicriviroc	Censavudine	Chloroquine	Cobicistat	Cyclosporin_A	Daclatasvir	Darunavir	Didanosine	Dolutegravir	Efavirenz	Elbasvir	Eltrombopag	Elvitegravir	Emtricitabine	Etravirine	FK506	Fosamprenavir	Ganciclovir	Glecaprevir	Glycyrrhizin	Grazoprevir	Herbacetin	Indinavir	Lamivudine	Laninamivir	Ledipasvir	Letermovir	Lopinavir	Maraviroc	Maribavir	Mizoribine	Mycophenolic_acid	Nelfinavir	Nevirapine	Nitazoxanide	Oseltamivir	Pentoxifylline	Peramivir	Phenothiazine	Pibrentasvir	Presatovir	Protein_phosphatase_1	Pyrazofurin	Raltegravir	Remdesivir	Rhoifolin	Ribavirin	Rifabutin	Rilpivirine	Rimantadine	Ritonavir	Saquinavir	Simeprevir	Sofosbuvir	stavudine	sulfamethoxazole	Teicoplanin	Tenofovir	Tenofovir_alafenamide	Tenofovir_disoproxil	Tipranavir	Trimethoprim	Valaciclovir	Valganciclovir	Velpatasvir	Voxilaprevir	Zanamivir	zidovudine
6-azauridine	1	0.094339623	0.134831461	0.078212291	0.053763441	0.08974359	0.124031008	0.093103448	0.062937063	0.0625	0.052631579	0.166666667	0.044247788	0.06	0.070038911	0.072164948	0.086666667	0.153846154	0.112	0.076190476	0.061674009	0.072463768	0.085271318	0.149425287	0.03875969	0.110526316	0.115646259	0.139784946	0.08040201	0.116402116	0.08994709	0.094339623	0.088757396	0.152941176	0.122641509	0.067264574	0.062111801	0.068965517	0.073333333	0.24742268	0.333333333	0.092592593	0.076923077	0.086538462	0.085714286	0.08490566	0.111111111	0.104761905	0.042553191	0.056390977	0.068027211	0.04587156	0.268292683	0.091603053	0.168918919	0.157534247	0.307692308	0.12755102	0.03030303	0.033333333	0.059139785	0.071823204	0.086486486	0.232	0.204819277	0.072916667	0.068181818	0.14893617	0.080291971	0.09352518	0.074534161	0.065420561	0.112149533	0.117117117	0.085585586	0.089552239	0.126213592	0.213483146
Abacavir	0.094339623	1	0.206896552	0.11299435	0.063829787	0.0875	0.15503876	0.073578595	0.083333333	0.076923077	0.079365079	0.135416667	0.099099099	0.08	0.052830189	0.098445596	0.120805369	0.282352941	0.134920635	0.114285714	0.09375	0.078014184	0.082706767	0.195402299	0.112903226	0.085858586	0.105263158	0.208791209	0.111675127	0.0591133	0.117021277	0.071428571	0.105882353	0.2	0.088495575	0.1	0.09375	0.079545455	0.137931034	0.157407407	0.186813187	0.060869565	0.131578947	0.158415842	0.092592593	0.081818182	0.106796117	0.081081081	0.073684211	0.079545455	0.141843972	0.145631068	0.125	0.113636364	0.120253165	0.088050314	0.164835165	0.09223301	0.09375	0.08988764	0.069148936	0.131428571	0.132596685	0.097222222	0.181818182	0.114583333	0.041463415	0.191489362	0.151515152	0.122302158	0.079268293	0.145631068	0.14953271	0.163636364	0.103603604	0.109452736	0.090909091	0.154639175
Acyclovir	0.134831461	0.206896552	1	0.058139535	0.075581395	0.067114094	0.080645161	0.0625	0.02919708	0.086956522	0.092485549	0.146341463	0.103092784	0.07486631	0.051792829	0.070652174	0.085714286	0.27027027	0.084745763	0.085106383	0.055045872	0.078740157	0.112068966	0.186666667	0.098214286	0.058201058	0.085106383	0.461538462	0.0625	0.03626943	0.071428571	0.082474227	0.074534161	0.175675676	0.08	0.060747664	0.073825503	0.086956522	0.071428571	0.111111111	0.148148148	0.114583333	0.068027211	0.133333333	0.095744681	0.083333333	0.164705882	0.05	0.074074074	0.050583658	0.081481481	0.119565217	0.120481928	0.109243697	0.117241379	0.074829932	0.151898734	0.065989848	0.077586207	0.012345679	0.081395349	0.082840237	0.079545455	0.091603053	0.155844156	0.108433735	0.037783375	0.25974026	0.170940171	0.165289256	0.087248322	0.144444444	0.588235294	0.506666667	0.069767442	0.072164948	0.071428571	0.141176471
Asunaprevir	0.078212291	0.11299435	0.058139535	1	0.231111111	0.125560538	0.135678392	0.121126761	0.301675978	0.130208333	0.119521912	0.068965517	0.143678161	0.14453125	0.082066869	0.219409283	0.145539906	0.087719298	0.139896373	0.134502924	0.192592593	0.106280193	0.151041667	0.058479532	0.091370558	0.154150198	0.150234742	0.0625	0.259574468	0.13618677	0.373205742	0.070652174	0.172566372	0.06547619	0.104972376	0.212927757	0.140271493	0.131355932	0.163461538	0.10989011	0.075581395	0.099447514	0.208737864	0.121387283	0.140350877	0.113636364	0.091428571	0.11299435	0.059171598	0.175324675	0.208121827	0.12716763	0.063218391	0.148717949	0.128888889	0.091703057	0.070175439	0.139622642	0.095959596	0.080745342	0.139344262	0.222222222	0.287671233	0.140776699	0.071005917	0.115151515	0.086206897	0.06779661	0.128078818	0.114832536	0.123893805	0.12716763	0.092896175	0.090425532	0.224334601	0.265822785	0.082417582	0.073863636
Atazanavir	0.053763441	0.063829787	0.075581395	0.231111111	1	0.144144144	0.070093458	0.135977337	0.197969543	0.222222222	0.178423237	0.061797753	0.134831461	0.292576419	0.078078078	0.280701754	0.286458333	0.055865922	0.093137255	0.059139785	0.28458498	0.165829146	0.137055838	0.045454545	0.095477387	0.088560886	0.271794872	0.079545455	0.136882129	0.084558824	0.115384615	0.098901099	0.300970874	0.052023121	0.115384615	0.243243243	0.159090909	0.336633663	0.134259259	0.067708333	0.056179775	0.097826087	0.235294118	0.100558659	0.157894737	0.105555556	0.102272727	0.098901099	0.144654088	0.185064935	0.090497738	0.151162791	0.05027933	0.176165803	0.184331797	0.104803493	0.050847458	0.109090909	0.12244898	0.011428571	0.36407767	0.362745098	0.117647059	0.178217822	0.063583815	0.106508876	0.095032397	0.078651685	0.18974359	0.129186603	0.218009479	0.1	0.109289617	0.11827957	0.279527559	0.126394052	0.092896175	0.049180328
Baloxavir_marboxil	0.08974359	0.0875	0.067114094	0.125560538	0.144144144	1	0.215568862	0.077586207	0.071428571	0.161676647	0.167420814	0.101351351	0.086419753	0.179039301	0.074193548	0.17699115	0.194594595	0.093959732	0.246835443	0.11038961	0.19123506	0.190751445	0.185628743	0.112676056	0.136094675	0.120833333	0.206521739	0.064935065	0.156779661	0.076	0.13304721	0.144736842	0.18627451	0.106382979	0.079268293	0.169960474	0.258241758	0.190243902	0.152631579	0.078313253	0.072847682	0.128205128	0.170984456	0.14	0.154362416	0.088050314	0.112582781	0.054545455	0.172932331	0.173010381	0.162162162	0.109677419	0.065789474	0.161849711	0.172588832	0.146464646	0.066666667	0.148148148	0.127906977	0.048611111	0.138392857	0.161290323	0.171945701	0.197740113	0.112676056	0.118055556	0.093181818	0.064102564	0.150837989	0.105263158	0.178571429	0.109677419	0.099378882	0.096385542	0.19123506	0.139917695	0.067484663	0.099337748
Bictegravir	0.124031008	0.15503876	0.080645161	0.135678392	0.070093458	0.215568862	1	0.083591331	0.107784431	0.090322581	0.120192308	0.131147541	0.070921986	0.09375	0.080701754	0.126168224	0.126436782	0.159663866	0.563636364	0.149606299	0.132231405	0.16025641	0.184931507	0.166666667	0.098684211	0.124423963	0.11299435	0.07751938	0.158878505	0.094170404	0.160194175	0.15503876	0.124352332	0.129310345	0.09352518	0.153191489	0.179190751	0.111675127	0.161676647	0.132352941	0.12295082	0.143939394	0.168604651	0.149606299	0.113636364	0.088235294	0.1171875	0.087591241	0.056451613	0.15018315	0.194968553	0.072992701	0.12295082	0.213793103	0.101604278	0.12849162	0.106557377	0.144144144	0.090322581	0.06779661	0.074766355	0.140703518	0.158415842	0.140243902	0.156521739	0.096774194	0.072941176	0.068181818	0.083832335	0.069364162	0.138121547	0.097014925	0.085714286	0.090277778	0.146443515	0.161290323	0.095588235	0.165289256
Bleomycin	0.093103448	0.073578595	0.0625	0.121126761	0.135977337	0.077586207	0.083591331	1	0.108695652	0.085987261	0.112637363	0.054421769	0.069536424	0.148760331	0.140142518	0.140883978	0.105105105	0.065292096	0.081761006	0.035830619	0.146529563	0.076219512	0.095238095	0.066433566	0.079617834	0.103448276	0.101492537	0.072413793	0.105263158	0.165266106	0.110810811	0.066445183	0.101983003	0.063157895	0.094594595	0.147668394	0.068181818	0.12034384	0.086053412	0.120274914	0.111510791	0.080267559	0.100294985	0.056478405	0.074074074	0.081081081	0.064189189	0.091836735	0.034129693	0.130232558	0.077380952	0.070469799	0.115523466	0.118971061	0.121661721	0.198717949	0.104316547	0.14516129	0.062305296	0.027586207	0.172011662	0.14	0.140449438	0.111455108	0.066433566	0.058419244	0.171641791	0.068259386	0.106583072	0.112149533	0.083094556	0.085034014	0.094594595	0.104026846	0.140664962	0.118733509	0.099315068	0.068259386
Boceprevir	0.062937063	0.083333333	0.02919708	0.301675978	0.197969543	0.071428571	0.107784431	0.108695652	1	0.1	0.071428571	0.050724638	0.039473684	0.115044248	0.078767123	0.169811321	0.109289617	0.066176471	0.098159509	0.055172414	0.151639344	0.05027933	0.065088757	0.052631579	0.023529412	0.120535714	0.102702703	0.035460993	0.169724771	0.140909091	0.160377358	0.006451613	0.160621762	0.053435115	0.135714286	0.158333333	0.065656566	0.113300493	0.13559322	0.066225166	0.082706767	0.067567568	0.209302326	0.055172414	0.062068966	0.131386861	0.071428571	0.172932331	0	0.134275618	0.119318182	0.069444444	0.074626866	0.115853659	0.086734694	0.034653465	0.083969466	0.115384615	0.023255814	0.090163934	0.102325581	0.244680851	0.126168224	0.114942529	0.052631579	0.036231884	0.049886621	0.042253521	0.08045977	0.097142857	0.054455446	0.033557047	0.074324324	0.071895425	0.165975104	0.177272727	0.122302158	0.064748201
Camostat	0.0625	0.076923077	0.086956522	0.130208333	0.222222222	0.161676647	0.090322581	0.085987261	0.1	1	0.210810811	0.084033613	0.14516129	0.174129353	0.038194444	0.177664975	0.198717949	0.057377049	0.124137931	0.078740157	0.142241379	0.178082192	0.146853147	0.05982906	0.161764706	0.063348416	0.205128205	0.083333333	0.101382488	0.073059361	0.105769231	0.111111111	0.162011173	0.070175439	0.153225806	0.144104803	0.160714286	0.186440678	0.107784431	0.074074074	0.075630252	0.109375	0.163636364	0.10483871	0.2	0.148760331	0.116666667	0.138211382	0.150943396	0.113138686	0.124223602	0.131147541	0.075630252	0.184397163	0.179640719	0.122093023	0.06779661	0.084070796	0.167883212	0.017391304	0.188172043	0.197802198	0.108374384	0.163398693	0.087719298	0.165137615	0.090243902	0.090909091	0.178082192	0.128205128	0.165680473	0.112903226	0.134920635	0.129770992	0.147186147	0.104545455	0.111111111	0.064516129
