	2019-nCoV	SARS	MERS	A-H1N1	A-H5N1	A-H7N9	human_cytomegalovirus	Hendra(formerly_equine_morbillivirus)	HIV-1	HIV-2	HCV	respiratory_syncytial
2019-nCoV	1	0.799	0.5544	0.4046	0.4066	0.4113	0.4188	0.4156	0.4005	0.3959	0.3977	0.4306
SARS	0.799	1	0.5485	0.4065	0.408	0.4123	0.4168	0.4156	0.3964	0.3952	0.4007	0.427
MERS	0.5544	0.5485	1	0.3977	0.3988	0.3941	0.4186	0.4092	0.3911	0.3837	0.4	0.4175
A-H1N1	0.4046	0.4065	0.3977	1	0.9978	0.839	0.6724	0.4891	0.424	0.4324	0.3838	0.3941
A-H5N1	0.4066	0.408	0.3988	0.9978	1	0.8386	0.672	0.4914	0.424	0.4316	0.3846	0.3986
A-H7N9	0.4113	0.4123	0.3941	0.839	0.8386	1	0.6763	0.486	0.4269	0.432	0.3818	0.4127
human_cytomegalovirus	0.4188	0.4168	0.4186	0.6724	0.672	0.6763	1	0.5546	0.455	0.4491	0.4133	0.4025
Hendra(formerly_equine_morbillivirus)	0.4156	0.4156	0.4092	0.4891	0.4914	0.486	0.5546	1	0.4479	0.4419	0.3874	0.4293
HIV-1	0.4005	0.3964	0.3911	0.424	0.424	0.4269	0.455	0.4479	1	0.6004	0.3748	0.4293
HIV-2	0.3959	0.3952	0.3837	0.4324	0.4316	0.432	0.4491	0.4419	0.6004	1	0.3823	0.4198
HCV	0.3977	0.4007	0.4	0.3838	0.3846	0.3818	0.4133	0.3874	0.3748	0.3823	1	0.3781
respiratory_syncytial	0.4306	0.427	0.4175	0.3941	0.3986	0.4127	0.4025	0.4293	0.4293	0.4198	0.3781	1
