	Azacitidine	Brincidofovir	Cidofovir	Filociclovir	Flavopiridol	Ganciclovir	Letermovir	Niclosamide	Nitazoxanide	Favipiravir	Artesunate	Bithionol	Dasatinib	Erlotinib	Gefitinib	Hexachlorophene	Imatinib	Leflunomide	Mycophenolic_acid	Rapamycin_(Sirolimus)	Sunitinib	Navitoclax	Chloroquine	Chlorpromazine	Atovaquone	Berberine	Doxycycline	Eflornithine	EIPA_(amiloride)	Hydroxychloroquine	Isolanid_(lanatoside_C)	Ivermectin	Luteolin	Nelfinavir	Ribavirin	Silvestrol	Sofosbuvir	Sorafenib	Suramin	Tilorone_(Amixin)	Cyclosporine	Emetine	Emodin	Foscarnet	Lobucavir	Manidipine	Monensin	Quercetin	Salinomycin	Saracatinib	Simvastatin	Valacyclovir	Verapamil	4-HPR_(Fenretinide)	Amiodarone	Amodiaquine	Anisomycin	BCX4430_(Galidesivir)	Bepridil	Bortezomib	Brequinar	Entrectinib	Fluoxetine	Fluvastatin	Lovastatin	Metformin	Minocycline	Mitoxantrone	Posaconazole	Quinacrine	Quinine	Raloxifene	Remdesivir	Topotecan	Apilimod	Arbidol_(Umifenovir)	Azithromycin	Benztropine	Clomipramine	Dalbavancin	Diphyllin	Nafamostat	Oritavancin	Tamoxifen	Teicoplanin	Telavancin	Teriflunomide	Toremifene	Aciclovir	Camptothecin	Glycyrrhizin	Novobiocin	Promethazine	Roscovitine_(Seliciclib)	Homoharringtonine	Acetylsalicylic_acid	Azaribine	Caffeine	Camostat	Gemcitabine	Genistin	Itraconazole	Kasugamycin	Memantine	Obatoclax	Pentosan_polysulfate	Regorafenib	Trametinib	Triazavirin	Zanamivir	Ezetimibe	Irbesartan	Lamivudine	Tenofovir	Thymalfasin	Alisporivir	Cepharanthine	Boceprevir	Dibucaine	Elbasvir	Pirlindole	Formoterol	Pleconaril	Alpha-lipoic_acid	Indomethacin	Lopinavir	Ritonavir	Mefloquine
Azacitidine	1	0.107913669	0.205128205	0.207317073	0.117117117	0.215189873	0.059210526	0.051020408	0.06122449	0.153846154	0.080357143	0.054347826	0.09375	0.056910569	0.070866142	0.063157895	0.069444444	0.065217391	0.08	0.082524272	0.05	0.031390135	0.058823529	0.04950495	0.071428571	0.034782609	0.130434783	0.055555556	0.103896104	0.077669903	0.117924528	0.051630435	0.094736842	0.074829932	0.533333333	0.098765432	0.125	0.046511628	0.025735294	0.048	0.043307087	0.065693431	0.086956522	0.070175439	0.302631579	0.041916168	0.08125	0.092783505	0.073863636	0.067567568	0.113043478	0.147368421	0.030075188	0.041322314	0.047244094	0.063636364	0.112359551	0.285714286	0.041666667	0.087719298	0.059322034	0.057692308	0.038461538	0.075	0.115044248	0.014925373	0.099173554	0.079365079	0.072222222	0.050420168	0.095238095	0.058394161	0.147887324	0.1	0.078125	0.058823529	0.103030303	0.065420561	0.048076923	0.066312997	0.160493827	0.043859649	0.071232877	0.032520325	0.067357513	0.073654391	0.054945055	0.031746032	0.213333333	0.100917431	0.098360656	0.114864865	0.051020408	0.111111111	0.076388889	0.065789474	0.171717172	0.121621622	0.05	0.382352941	0.23364486	0.068181818	0.151515152	0.025	0.036036036	0.087301587	0.045801527	0.05	0.101265823	0.139784946	0.091666667	0.06870229	0.313432836	0.166666667	0.01141925	0.04296875	0.041176471	0.059701493	0.063636364	0.054794521	0.054945055	0.064220183	0.07079646	0.052631579	0.064814815	0.047619048	0.050561798	0.063636364
Brincidofovir	0.107913669	1	0.380530973	0.102739726	0.062857143	0.17037037	0.061904762	0.050955414	0.064102564	0.062015504	0.039772727	0.039215686	0.074468085	0.097142857	0.081967213	0.044871795	0.053658537	0.052631579	0.075949367	0.059479554	0.08045977	0.050359712	0.096774194	0.070063694	0.052023121	0.046242775	0.066666667	0.061538462	0.05	0.116129032	0.049122807	0.036951501	0.057324841	0.073170732	0.069444444	0.071428571	0.107526882	0.053475936	0.03021148	0.122093023	0.051446945	0.06122449	0.065789474	0.060344828	0.102739726	0.067873303	0.044444444	0.056603774	0.050209205	0.062801932	0.079545455	0.147651007	0.087431694	0.044444444	0.114285714	0.071856287	0.073333333	0.073333333	0.080924855	0.081395349	0.056497175	0.046082949	0.0625	0.073033708	0.086705202	0.015625	0.06557377	0.106145251	0.071428571	0.1	0.06626506	0.067010309	0.130653266	0.096045198	0.069518717	0.08045977	0.051724138	0.053892216	0.06875	0.089201878	0.130434783	0.046242775	0.048611111	0.06779661	0.07239819	0.130769231	0.053333333	0.066666667	0.141791045	0.089820359	0.043650794	0.075829384	0.064516129	0.103030303	0.090452261	0.07518797	0.078787879	0.066176471	0.074285714	0.164179104	0.065934066	0.068376068	0.035294118	0.014084507	0.047337278	0.036458333	0.052910053	0.050251256	0.064285714	0.076923077	0.072222222	0.097826087	0.162790698	0.167883212	0.060653188	0.051118211	0.039130435	0.035532995	0.140127389	0.046428571	0.046357616	0.078787879	0.076470588	0.059701493	0.072727273	0.076923077	0.077922078	0.052941176
Cidofovir	0.205128205	0.380530973	1	0.174418605	0.095652174	0.306666667	0.072368421	0.082474227	0.092783505	0.115942029	0.051282051	0.064516129	0.100775194	0.081967213	0.086614173	0.072916667	0.068493151	0.075268817	0.111111111	0.066350711	0.094017094	0.054545455	0.1	0.090909091	0.079646018	0.052173913	0.1	0.098591549	0.0875	0.118811881	0.052863436	0.034574468	0.104166667	0.095890411	0.13253012	0.084337349	0.123076923	0.0703125	0.036900369	0.090163934	0.04296875	0.057142857	0.108695652	0.166666667	0.174418605	0.073170732	0.054216867	0.102040816	0.061111111	0.066666667	0.101694915	0.180851064	0.07751938	0.05785124	0.08	0.091743119	0.097826087	0.134831461	0.094827586	0.115044248	0.076271186	0.056962025	0.089108911	0.110169492	0.113043478	0.014492754	0.097560976	0.12195122	0.083333333	0.104347826	0.093457944	0.088888889	0.137931034	0.12605042	0.085271318	0.103448276	0.051428571	0.074074074	0.088235294	0.043927649	0.215189873	0.07079646	0.048	0.075	0.045454545	0.06424581	0.076923077	0.073170732	0.223684211	0.119266055	0.051813472	0.091503268	0.09375	0.140186916	0.090277778	0.121621622	0.092592593	0.103896104	0.094017094	0.297297297	0.107438017	0.079545455	0.054545455	0.012048193	0.063636364	0.045112782	0.069230769	0.064285714	0.098765432	0.125	0.108333333	0.092307692	0.304347826	0.351351351	0.019672131	0.042635659	0.040697674	0.043478261	0.112149533	0.04954955	0.065217391	0.113207547	0.088495575	0.064935065	0.103773585	0.09202454	0.086206897	0.081818182
Filociclovir	0.207317073	0.102739726	0.174418605	1	0.100840336	0.471428571	0.076923077	0.078431373	0.077669903	0.154929577	0.049180328	0.083333333	0.130769231	0.087301587	0.1	0.090909091	0.095238095	0.071428571	0.12745098	0.064814815	0.108333333	0.058035714	0.08490566	0.086538462	0.085470085	0.058823529	0.096	0.064102564	0.12195122	0.102803738	0.0472103	0.034120735	0.099009901	0.078431373	0.151162791	0.075581395	0.086330935	0.067669173	0.032490975	0.078125	0.054263566	0.077464789	0.103092784	0.046153846	0.472222222	0.071005917	0.052631579	0.097087379	0.042553191	0.085526316	0.071428571	0.247311828	0.058823529	0.081300813	0.06870229	0.097345133	0.081632653	0.177777778	0.056	0.091666667	0.081967213	0.075	0.055045872	0.105691057	0.072580645	0.013513514	0.102362205	0.108527132	0.092896175	0.081967213	0.099099099	0.09352518	0.111111111	0.139344262	0.115384615	0.090163934	0.05	0.043103448	0.094339623	0.038071066	0.202380952	0.06779661	0.044619423	0.05511811	0.042288557	0.046070461	0.051020408	0.053846154	0.342465753	0.133928571	0.045226131	0.088607595	0.067961165	0.175925926	0.094594595	0.060240964	0.088495575	0.153846154	0.072580645	0.174418605	0.094488189	0.089385475	0.043103448	0.034883721	0.089285714	0.028571429	0.066666667	0.069444444	0.13253012	0.076190476	0.104	0.122137405	0.172839506	0.220930233	0.012924071	0.049808429	0.045454545	0.041958042	0.087719298	0.0625	0.095744681	0.108108108	0.094017094	0.06097561	0.089285714	0.082840237	0.071823204	0.107142857
Flavopiridol	0.117117117	0.062857143	0.095652174	0.100840336	1	0.084745763	0.18404908	0.205357143	0.142857143	0.07	0.06993007	0.194444444	0.202797203	0.132867133	0.2	0.17699115	0.169811321	0.120689655	0.12	0.133333333	0.136690647	0.139130435	0.12	0.189655172	0.288135593	0.198412698	0.2	0.018867925	0.063636364	0.125984252	0.071713147	0.071611253	0.36	0.1875	0.097345133	0.173184358	0.157894737	0.151724138	0.095070423	0.147887324	0.064516129	0.148387097	0.245283019	0.04494382	0.110169492	0.163841808	0.073298429	0.289719626	0.072815534	0.210191083	0.111111111	0.068181818	0.111842105	0.120567376	0.18705036	0.182539683	0.139130435	0.100840336	0.145985401	0.130434783	0.207692308	0.186746988	0.129032258	0.175182482	0.112676056	0.01010101	0.18705036	0.166666667	0.14213198	0.145985401	0.185483871	0.187919463	0.147058824	0.205882353	0.180555556	0.215384615	0.086294416	0.18699187	0.205128205	0.095959596	0.105263158	0.126865672	0.1015625	0.11971831	0.093596059	0.101876676	0.094017094	0.125	0.078947368	0.256198347	0.078703704	0.193939394	0.153846154	0.151515152	0.133333333	0.153061224	0.072463768	0.095238095	0.097222222	0.125	0.251908397	0.157894737	0.073529412	0.04587156	0.195121951	0.069620253	0.157534247	0.201342282	0.072072072	0.078125	0.164285714	0.194444444	0.121495327	0.083333333	0.007727975	0.060283688	0.167597765	0.06097561	0.13740458	0.153508772	0.174311927	0.15625	0.108695652	0.056603774	0.176	0.149171271	0.100502513	0.146153846
Ganciclovir	0.215189873	0.17037037	0.306666667	0.471428571	0.084745763	1	0.071428571	0.07	0.090909091	0.161764706	0.041666667	0.074468085	0.11627907	0.098360656	0.102362205	0.082474227	0.082191781	0.073684211	0.12	0.060747664	0.101694915	0.049327354	0.108910891	0.089108911	0.068965517	0.051282051	0.080645161	0.095890411	0.126582278	0.12745098	0.043290043	0.031662269	0.090909091	0.08	0.156626506	0.076923077	0.096296296	0.069230769	0.029090909	0.088709677	0.05078125	0.071428571	0.094736842	0.048387097	0.471428571	0.072289157	0.047337278	0.089108911	0.043243243	0.08	0.081967213	0.345238095	0.076335878	0.056910569	0.078740157	0.1	0.084210526	0.183908046	0.075	0.103448276	0.075	0.062893082	0.076923077	0.099173554	0.092436975	0.014084507	0.078740157	0.111111111	0.094444444	0.102564103	0.101851852	0.087591241	0.128378378	0.114754098	0.100775194	0.101694915	0.04494382	0.053571429	0.086538462	0.041025641	0.272727273	0.069565217	0.044973545	0.073770492	0.045226131	0.046448087	0.052631579	0.072	0.461538462	0.107142857	0.040609137	0.076433121	0.080808081	0.203883495	0.089041096	0.075949367	0.100917431	0.16	0.083333333	0.166666667	0.096774194	0.090909091	0.044247788	0.011764706	0.081818182	0.02919708	0.068181818	0.055944056	0.1375	0.1	0.106557377	0.107692308	0.164556962	0.307692308	0.019607843	0.050387597	0.040229885	0.035460993	0.110091743	0.063348416	0.075268817	0.111111111	0.10619469	0.063291139	0.091743119	0.090909091	0.085227273	0.1
Letermovir	0.059210526	0.061904762	0.072368421	0.076923077	0.18404908	0.071428571	1	0.146666667	0.130718954	0.082706767	0.085714286	0.099337748	0.229411765	0.170588235	0.220238095	0.096774194	0.238888889	0.210144928	0.127388535	0.11026616	0.13372093	0.23553719	0.10625	0.158940397	0.196202532	0.212903226	0.143678161	0.066176471	0.054794521	0.111111111	0.058823529	0.075471698	0.138157895	0.170103093	0.066225166	0.228855721	0.157608696	0.243902439	0.118971061	0.149425287	0.063694268	0.181318681	0.119205298	0.04	0.076923077	0.246153846	0.066079295	0.129032258	0.061728395	0.188481675	0.100558659	0.09202454	0.190751445	0.120689655	0.154285714	0.169811321	0.174825175	0.070063694	0.175757576	0.128654971	0.25974026	0.27173913	0.246478873	0.207317073	0.095505618	0.02238806	0.122222222	0.108108108	0.27804878	0.175757576	0.187096774	0.229885057	0.16	0.148571429	0.203488372	0.167664671	0.063559322	0.165605096	0.171052632	0.095348837	0.093959732	0.182389937	0.100478469	0.166666667	0.093181818	0.100737101	0.195652174	0.16374269	0.073825503	0.18125	0.067193676	0.158415842	0.154362416	0.125	0.166666667	0.136363636	0.081871345	0.085714286	0.160714286	0.086666667	0.155172414	0.253658537	0.051724138	0.048611111	0.187096774	0.035175879	0.256097561	0.227272727	0.054054054	0.060606061	0.19760479	0.18079096	0.082758621	0.077419355	0.013235294	0.059936909	0.242424242	0.065656566	0.134146341	0.195219124	0.130136986	0.185897436	0.158536585	0.071942446	0.25170068	0.183574879	0.132743363	0.192307692
Niclosamide	0.051020408	0.050955414	0.082474227	0.078431373	0.205357143	0.07	0.146666667	1	0.277777778	0.116883117	0.039370079	0.227272727	0.188976378	0.137096774	0.157480315	0.178947368	0.170212766	0.238636364	0.112149533	0.068493151	0.151260504	0.136792453	0.202020202	0.21875	0.224299065	0.140350877	0.146341463	0.048192771	0.129411765	0.207920792	0.033333333	0.039164491	0.223404255	0.165517241	0.06185567	0.131736527	0.131386861	0.237288136	0.111111111	0.154471545	0.033707865	0.082758621	0.180851064	0.074626866	0.067961165	0.185897436	0.022222222	0.206185567	0.03626943	0.126666667	0.07751938	0.081081081	0.138461538	0.161016949	0.152	0.292929293	0.145833333	0.067961165	0.096774194	0.144067797	0.182608696	0.181208054	0.133333333	0.166666667	0.078740157	0.025974026	0.142857143	0.185483871	0.102702703	0.214285714	0.125	0.164179104	0.12987013	0.162601626	0.13740458	0.170940171	0.015789474	0.10619469	0.212121212	0.083989501	0.082474227	0.214953271	0.092391304	0.12195122	0.081841432	0.089385475	0.175824176	0.128	0.073684211	0.169642857	0.039215686	0.181208054	0.14	0.129310345	0.099337748	0.179487179	0.058333333	0.08045977	0.170940171	0.071428571	0.181818182	0.150289017	0.041666667	0	0.145454545	0.020689655	0.254237288	0.196969697	0.126436782	0.073394495	0.154471545	0.126865672	0.076086957	0.068627451	0.0096	0.033457249	0.105882353	0.033783784	0.163636364	0.105022831	0.114583333	0.221153846	0.090909091	0.045977011	0.26	0.133333333	0.118644068	0.113043478
Nitazoxanide	0.06122449	0.064102564	0.092783505	0.077669903	0.142857143	0.090909091	0.130718954	0.277777778	1	0.12987013	0.064	0.079207921	0.206349206	0.14516129	0.129770992	0.056074766	0.152777778	0.25	0.111111111	0.063348416	0.131147541	0.105022831	0.142857143	0.168316832	0.147826087	0.11965812	0.126984127	0.035294118	0.127906977	0.138888889	0.046218487	0.033678756	0.115384615	0.180555556	0.072164948	0.124260355	0.164179104	0.195121951	0.08988764	0.108527132	0.029739777	0.074829932	0.108910891	0.057971014	0.077669903	0.184713376	0.027777778	0.113207547	0.046875	0.111111111	0.085271318	0.12037037	0.103703704	0.15	0.16	0.131578947	0.15625	0.077669903	0.12295082	0.225225225	0.170940171	0.134615385	0.165048544	0.155737705	0.086614173	0.052631579	0.106870229	0.096296296	0.078947368	0.12295082	0.133928571	0.121428571	0.158940397	0.107692308	0.145038168	0.169491525	0.021052632	0.135135135	0.152380952	0.056122449	0.104166667	0.169642857	0.054973822	0.158333333	0.057356608	0.056756757	0.173913043	0.154471545	0.095744681	0.168141593	0.059701493	0.164473684	0.173469388	0.168141593	0.098684211	0.476190476	0.142857143	0.117647059	0.2	0.070707071	0.099236641	0.081081081	0.058823529	0.010752688	0.165137615	0.027586207	0.192	0.152173913	0.151162791	0.102803738	0.091603053	0.134328358	0.086956522	0.1	0.01607717	0.029520295	0.08	0.062068966	0.228571429	0.130232558	0.102040816	0.132743363	0.081300813	0.045454545	0.175925926	0.153374233	0.16374269	0.102564103
Favipiravir	0.153846154	0.062015504	0.115942029	0.154929577	0.07	0.161764706	0.082706767	0.116883117	0.12987013	1	0.04	0.081081081	0.118181818	0.066037736	0.081818182	0.076923077	0.096	0.14084507	0.096385542	0.03	0.09	0.03902439	0.070588235	0.047058824	0.072916667	0.040816327	0.118811881	0.113207547	0.214285714	0.08045977	0.03286385	0.016483516	0.0875	0.068181818	0.19047619	0.052287582	0.076271186	0.092592593	0.031496063	0.04587156	0.020576132	0.032	0.092105263	0.1	0.154929577	0.046666667	0.026315789	0.085365854	0.02994012	0.052238806	0.067307692	0.15	0.034482759	0.09	0.064220183	0.086956522	0.093333333	0.123287671	0.028571429	0.114583333	0.125	0.072463768	0.058139535	0.098039216	0.068627451	0.0625	0.115384615	0.0625	0.060240964	0.058823529	0.076923077	0.075630252	0.089552239	0.08490566	0.07079646	0.09	0.018518519	0.031914894	0.045454545	0.02393617	0.115942029	0.096774194	0.03030303	0.047619048	0.025974026	0.031339031	0.112676056	0.046296296	0.174603175	0.084210526	0.039548023	0.080291971	0.048780488	0.095744681	0.061538462	0.122807018	0.087912088	0.118644068	0.09	0.132352941	0.064814815	0.042682927	0.054347826	0.015625	0.053763441	0.016949153	0.100917431	0.074380165	0.111111111	0.098765432	0.085714286	0.060344828	0.126984127	0.14084507	0.010050251	0.020408163	0.025641026	0.041666667	0.098901099	0.054187192	0.053333333	0.076086957	0.083333333	0.06779661	0.088888889	0.052980132	0.075949367	0.086956522
